Company_Name,Num_of_Employee,Hiring_Growth_2020
JPMorgan Chase Co.,59403,12
Wells Fargo,246155,4
Truist,8717,125
Capital One,51660,5
Bank of America,251680,6
Goldman Sachs,59151,16
Morgan Stanley,78104,3
Nike,88174,15
PepsiCo,128683,12
Johnson & Johnson,121910,9
Unilever,120544,9
The Walt Disney Company,131563,8
Sony,29305,6
Omnicom Media Group,30257,-1
WarnerMedia,31299,6
AT&T,217945,4
CVS Health,107831,6
The Home Depot,97295,11
Target,153804,8
"Lowe's Companies, Inc.",108681,10
IBM,510892,2
Amazon,482770,40
Oracle,184101,2
Facebook,75236,23
Intel Corporation,133520,4
