Job_Title, Tax Audit Analytics,Analytics Consultant,Analytics Manager,Audit Analytics,Business Analyst,Data Analyst,Data Engineer,Data Researcher,Data Scientist,Financial Analyst,Logistics Analyst,Marketing Analyst,Operation Analyst,Strategy Analyst,Supply Chain Analyst,Total_Count
PowerBI,0,0,4,0,3,1,1,2,7,1,1,1,1,0,4,26
Critical_Thinking,0,16,20,9,17,8,14,11,10,10,1,15,15,11,16,174
Communication_Presentation,1,20,25,17,28,17,24,19,24,23,1,25,27,19,22,293
Attention_to_detail,1,11,8,7,20,4,12,6,14,14,0,6,13,5,10,131
Problem_Solving,1,19,24,9,25,15,22,16,22,13,1,18,24,15,17,242
Microsoft_Office(Excel_Macro_VBA),1,6,8,4,22,6,16,6,12,13,0,7,14,5,11,132
SQL,1,7,9,5,18,6,15,7,17,9,0,12,12,2,4,125
SAS,0,2,3,3,11,0,4,3,11,5,0,4,4,0,3,54
Python,1,5,6,3,5,9,11,6,19,5,0,7,8,3,6,95
Java,0,3,8,2,5,7,13,5,17,3,0,8,6,3,5,86
R,0,2,2,1,11,4,11,3,16,4,0,2,5,3,3,68
MATLAB,0,1,1,2,8,0,4,0,1,3,0,0,0,0,1,21
TensorFlow,0,0,1,0,1,1,3,1,1,1,0,0,0,0,0,9
Tableau,0,2,5,2,4,1,4,2,8,5,0,8,3,1,4,49
Data_Modeling,0,9,15,6,17,9,23,14,16,13,0,18,14,9,10,174
Alteryx,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,5
Machine_Learning,0,7,4,2,3,7,9,7,9,7,0,0,9,0,1,65
Data_Visualization,0,13,17,8,19,7,23,15,16,15,0,16,12,17,10,189
Oracle,1,0,0,0,0,3,6,1,0,1,0,0,1,2,1,16
SAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWS,0,1,4,1,2,2,6,1,1,0,0,5,4,2,2,31
Spark,0,5,0,1,1,2,3,1,5,1,0,3,4,0,3,29
Linux,0,1,3,0,1,2,4,0,0,3,0,0,0,0,1,15
C++,0,1,3,0,1,6,1,1,3,1,0,0,4,0,1,22
Hadoop,0,1,3,0,1,7,2,1,3,1,0,0,3,0,1,23
Visio,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,4
twoyears_we,1,6,24,5,7,4,12,17,8,6,0,4,5,5,6,110
