Job_Title,PowerBI,Critical_Thinking,Communication_Presentation,Attention_to_detail,Problem_Solving,Microsoft_Office(Excel_Macro_VBA),SQL,SAS,Python,Java,R,MATLAB,TensorFlow,Tableau,Data_Modeling,Alteryx,Machine_Learning,Data_Visualization,Oracle,SAP,AWS,Spark,Linux,C++,Hadoop,Visio,twoyears_we
 Tax Audit Analytics,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
Analytics Consultant,0,16,20,11,19,6,7,2,5,3,2,1,0,2,9,0,7,13,0,0,1,5,1,1,1,0,6
Analytics Manager,4,20,25,8,24,8,9,3,6,8,2,1,1,5,15,1,4,17,0,0,4,0,3,3,3,1,24
Audit Analytics,0,9,17,7,9,4,5,3,3,2,1,2,0,2,6,0,2,8,0,0,1,1,0,0,0,0,5
Business Analyst,3,17,28,20,25,22,18,11,5,5,11,8,1,4,17,0,3,19,0,0,2,1,1,1,1,1,7
Data Analyst,1,8,17,4,15,6,6,0,9,7,4,0,1,1,9,0,7,7,3,0,2,2,2,6,7,1,4
Data Engineer,1,14,24,12,22,16,15,4,11,13,11,4,3,4,23,1,9,23,6,0,6,3,4,1,2,0,12
Data Researcher,2,11,19,6,16,6,7,3,6,5,3,0,1,2,14,1,7,15,1,0,1,1,0,1,1,0,17
Data Scientist,7,10,24,14,22,12,17,11,19,17,16,1,1,8,16,1,9,16,0,0,1,5,0,3,3,0,8
Financial Analyst,1,10,23,14,13,13,9,5,5,3,4,3,1,5,13,0,7,15,1,0,0,1,3,1,1,0,6
Logistics Analyst,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marketing Analyst,1,15,25,6,18,7,12,4,7,8,2,0,0,8,18,0,0,16,0,0,5,3,0,0,0,0,4
Operation Analyst,1,15,27,13,24,14,12,4,8,6,5,0,0,3,14,0,9,12,1,0,4,4,0,4,3,0,5
Strategy Analyst,0,11,19,5,15,5,2,0,3,3,3,0,0,1,9,0,0,17,2,0,2,0,0,0,0,0,5
Supply Chain Analyst,4,16,22,10,17,11,4,3,6,5,3,1,0,4,10,1,1,10,1,0,2,3,1,1,1,0,6
Grand Total,26,174,293,131,242,132,125,54,95,86,68,21,9,49,174,5,65,189,16,0,31,29,15,22,23,4,110
